temperature_K,salt_conc,salt,PC,DEC,EC,EMC,EA,DME,Sulfolane,TFP,DMC,2-MeTHF,conductivity_S_cm
302.55,0.689655172,LiBF4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.270588235
253.15,2.0,LiAsF6,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
333.15,1.0,LiAsF6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.72
263.15,0.986885246,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394613583
292.65,1.4764,LiPF6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117
333.15,1.0,LiAsF6,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,10.82
322.35,1.547244094,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.136986301
288.15,1.595321566,LiAsF6,0.32,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,1.276809381
323.15,0.711419223,LiBMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.396005111
262.90133,1.0,LiPF6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.353386947
312.45,1.4776,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659
213.95,0.8843,LiPF6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1699
253.35,0.681102362,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97260274
